artigoEmPeriodico	 	2017	1648-5831	http://dx.doi.org/10.15388/infedu.2017.12	Automatic content recommendation and aggregation according to SCORM	INFORMATICS IN EDUCATION	NEVES, Daniel Eugênio ; BRANDÃO, Wladmir Cardoso ; ISHITANI, Lucila	B3	Informatics in Education
trabalhoCompletoEmCongresso	 	2008		Produtividade científica em programas de pós-graduação em ciência da informação no Brasil e nos EUA	I Colóquio Mediações e Usos de Saberes e da Informação: Um Diálogo França-Brasil	BRANDÃO, Wladmir Cardoso; SILVA, Antonio Braz de Oliveira e ; PARREIRAS, Fernando Silva	Qualis nao identificado	I Colóquio Mediações e Usos de Saberes e da Informação: Um Diálogo França-Brasil
trabalhoCompletoEmCongresso	 	2006		Redes de co-autoria dos professores da ciência da informação: um retrato da colaboração científica dessa disciplina no Brasil	Encontro Nacional de Pesquisa em Ciência da Informação (ENANCIB)	SILVA, Antonio Braz de Oliveira e ; PARREIRAS, Fernando Silva ; MATHEUS, Renato Fabiano ; BRANDÃO, Wladmir Cardoso	Qualis nao identificado	Encontro Nacional de Pesquisa em Ciência da Informação (ENANCIB)
trabalhoCompletoEmCongresso	 	2006		Cube Subtracton in SAT Solvers	7th IEEE Latin America Test Workshop	ZUIM, R. L.; J. T. Sousa ; Claudionor N. C. J.	B4	IEEE Latin American Test Workshop
trabalhoCompletoEmCongresso	 	2006		A Fast SAT Solver Algorithm Best Suited to Reconfigurable Hardware	SBCCI 2006	ZUIM, R. L.; J. T. Sousa ; Claudionor N. C. J.	Qualis nao identificado	SBCCI 2006
trabalhoCompletoEmCongresso	 	2006		A Fast Sat Solver Strategy Based on Negated Clauses	14th IFIP International Conference on Very Large Scale Integration	ZUIM, R. L.; J. T. Sousa ; Claudionor N. C. J.	B3	IFIP International Conference on Very Large Scale Integration
trabalhoCompletoEmCongresso	 	2006		Cube Subtraction Strategy in Reconfigurable Hardware SAT Solvers	REC2006 - II Jornadas sobre Sistemas Reconfiguráveis	ZUIM, R. L.; J. T. Sousa ; Claudionor N. C. J.	Qualis nao identificado	REC2006 - II Jornadas sobre Sistemas Reconfiguráveis
trabalhoCompletoEmCongresso	 	2005		Um ambiente de apoio ao ensino presencial	XXV Congresso da Sociedade Brasileira de Computação	FRANQUEIRA, T. C.; COSTA, J. W. ; ISHITANI, L. ; BRUGGER, G. R.	Qualis nao identificado	XXV Congresso da Sociedade Brasileira de Computação
trabalhoCompletoEmCongresso	 	2005		Proposta para um esquema de classificação das fontes de informação para negócio	Encontro Nacional de Pesquisa em Ciência da Informação (ENANCIB)	SILVA, Antonio Braz de Oliveira e ; CAMPOS, Marcus José de Oliveira ; BRANDÃO, Wladmir Cardoso	Qualis nao identificado	Encontro Nacional de Pesquisa em Ciência da Informação (ENANCIB)
trabalhoCompletoEmCongresso	 	2004		Sistema automático de disseminação seletiva de informação	IFLA World Library and Information Congress: Management and Marketing (IFLA MM)	BAX, Marcello Peixoto ; ALVARENGA, Lídia ; PARREIRAS, Fernando Silva ; BRANDÃO, Wladmir Cardoso	Qualis nao identificado	IFLA World Library and Information Congress: Management and Marketing (IFLA MM)
trabalhoCompletoEmCongresso	 	2004		Informação e cooperação nas comunidades de desenvolvimento de software livre: um panorama do cenário brasileiro	Encontro Nacional de Ensino e Pesquisa em Informação (CINFORM)	PARREIRAS, Fernando Silva ; SILVA, Antonio Braz de Oliveira e ; BASTOS, Jaime Sadao Yamassaki ; BRANDÃO, Wladmir Cardoso	Qualis nao identificado	Encontro Nacional de Ensino e Pesquisa em Informação (CINFORM)
trabalhoCompletoEmCongresso	 	2004		Inclusão digital, política de software e outras políticas de informação	Encontro Nacional de Ensino e Pesquisa em Informação (CINFORM)	SILVA, Antonio Braz de Oliveira e ; PARREIRAS, Fernando Silva ; BASTOS, Jaime Sadao Yamassaki ; BRANDÃO, Wladmir Cardoso	Qualis nao identificado	Encontro Nacional de Ensino e Pesquisa em Informação (CINFORM)
trabalhoCompletoEmCongresso	 	2003		Gestão do conhecimento: um estudo sobre empresas do setor de informática em Minas Gerais	Congresso Brasileiro de Gestão do Conhecimento (KMBRASIL)	SILVA, Antonio Braz de Oliveira e ; PARREIRAS, Fernando Silva ; BASTOS, Jaime Sadao Yamassaki ; BRANDÃO, Wladmir Cardoso	Qualis nao identificado	Congresso Brasileiro de Gestão do Conhecimento (KMBRASIL)
trabalhoCompletoEmCongresso	 	2003		Dynamic Reconfiguration Behavior Using Generic FPGAs and FPIDs	16th Symposium on Integrated Circuits and Systems Design- SBCCI2003	ZUIM, R. L	B1	Symposium on Integrated Circuits and Systems Design
trabalhoCompletoEmCongresso	 	2002		Ambientes de Aprendizagem e o Processo de Conhecimento	Seminário Nacional de Tecnologia para EAD	FRANQUEIRA, T. C.; RIBAS, C. B. ; BRUGGER, G. R. ; COSTA, J. W.	Qualis nao identificado	Seminário Nacional de Tecnologia para EAD
trabalhoCompletoEmCongresso	 	2000		Projeto do site acadêmico do DCC-PUC-Minas	VI Congresso Internacional de Educação à Distância	FRANQUEIRA, T. C	B4	Congresso Internacional ABED de Educação a Distância
trabalhoCompletoEmCongresso	 	2000		Adicionando reconfigurabilidade a sistemas wearable	CORE 2000- Workshop de Computação reconfigurável	ZUIM, R. L	Qualis nao identificado	CORE 2000- Workshop de Computação reconfigurável
trabalhoCompletoEmCongresso	 	1994		Avaliação de algoritmos paralelos para a aplicação de quatérnios em robótica	XV CILAMCE	FRANQUEIRA, T. C	Qualis nao identificado	XV CILAMCE
trabalhoCompletoEmCongresso	 	1993		Um estudo sobre quatérnios e sua aplicação em robótica	I Simpósio Brasileiro de Automação Inteligente	FRANQUEIRA, T. C	B4	Simpósio Brasileiro de Automação Inteligente
trabalhoCompletoEmCongresso	 	1988		Deposição de Boro com injeção de Hidrogênio	III SBmicro	ZUIM, R. L	Qualis nao identificado	III SBmicro
trabalhoCompletoEmCongresso	 	1988		Avaliação de alumínio para microsolda em semicondutores	III Sbmicro	ZUIM, R. L	Qualis nao identificado	III Sbmicro
trabalhoCompletoEmCongresso	 	1987		Ferramenta para auxílio ao projeto de sistemas de controle	IV Encontro Regional de Matemática Aplicada e Computacional	FRANQUEIRA, T. C	Qualis nao identificado	IV Encontro Regional de Matemática Aplicada e Computacional
resumoExpandidoEmCongresso	 	1999	Projeto de curso de informática em educação a distância	VI Congresso Internacional de Educação a Distância, 1999. VI Congresso Internacional de Educação a Distância	FRANQUEIRA, T. C.; PAIM, I ; COSTA, J. W. ; MOREIRA, M.	Qualis nao identificado	VI Congresso Internacional de Educação a Distância, 1999. VI Congresso Internacional de Educação a Distância
