ISSN,Título,Estrato,Classificação
1566-2535,INFORMATION FUSION (PRINT),A1,Atualizado
0968-5227,INFORMATION MANAGEMENT & COMPUTER SECURITY,B5,Atualizado
1570-1255,INFORMATION POLITY,B5,Atualizado
0306-4573,INFORMATION PROCESSING & MANAGEMENT,A1,Atualizado
0020-0190,INFORMATION PROCESSING LETTERS (PRINT),A2,Atualizado
1386-4564,INFORMATION RETRIEVAL (BOSTON),B1,Atualizado
0020-0255,INFORMATION SCIENCES,A1,Atualizado
1387-3326,INFORMATION SYSTEMS FRONTIERS (PRINT),B1,Atualizado
0306-4379,INFORMATION SYSTEMS (OXFORD),A2,Atualizado
1473-8716,INFORMATION VISUALIZATION (PRINT),B1,Atualizado
0988-3754,INFORMATIQUE THÉORIQUE ET APPLICATIONS (IMPRIMÉ),B1,Atualizado
0100-3364,INFORME AGROPECUÁRIO (BELO HORIZONTE),C ,Atualizado
1091-9856,INFORMS JOURNAL ON COMPUTING,A2,Atualizado
1526-5528,INFORMS JOURNAL ON COMPUTING (ONLINE),A2,Atualizado
0718-3291,INGENIARE. REVISTA CHILENA DE INGENIERÍA (IMPRESA),B5,Atualizado
0120-5609,INGENIERIA E INVESTIGACION,B4,Atualizado
1633-1311,INGÉNIERIE DES SYSTEMES D'INFORMATION,B2,Atualizado
1614-5046,INNOVATIONS IN SYSTEMS AND SOFTWARE ENGINEERING (PRINT),B1,Atualizado
1073-9149,INSTRUMENTATION SCIENCE & TECHNOLOGY,B4,Atualizado
1069-2509,INTEGRATED COMPUTER-AIDED ENGINEERING,A1,Atualizado
0167-9260,INTEGRATION (AMSTERDAM. PRINT),B1,Atualizado
1757-9694,INTEGRATIVE BIOLOGY: A NEW JOURNAL OF QUANTITATIVE BIOSCIENCES FROM NANO TO MACRO,B3,Atualizado
1137-3601,INTELIGENCIA ARTIFICIAL,B2,Atualizado
1079-8587,INTELLIGENT AUTOMATION AND SOFT COMPUTING,B1,Atualizado
1088-467X,INTELLIGENT DATA ANALYSIS (PRINT),B1,Atualizado
0953-5438,INTERACTING WITH COMPUTERS,A2,Atualizado
1826-9745,INTERACTION DESIGN AND ARCHITECTURE(S) JOURNAL,C ,Atualizado
1072-5520,"INTERACTIONS (NEW YORK, N.Y.)",B1,Atualizado
1741-5659,INTERACTIVE TECHNOLOGY AND SMART EDUCATION,B3,Atualizado
2238-1295,INTERCIÊNCIA & SOCIEDADE - REVISTA ELETRÔNICA,C ,Atualizado
2236-0468,INTERCIÊNCIA & SOCIEDADE - REVISTA ELETRÔNICA,C ,Atualizado
1552-2210,INTERDISCIPLINARY JOURNAL OF E-LEARNING AND LEARNING OBJECTS,B5,Atualizado
1414-3283,INTERFACE (BOTUCATU. IMPRESSO),B5,Atualizado
1807-5762,INTERFACE (UNI/UNESP),B5,Atualizado
1755-7682,INTERNATIONAL ARCHIVES OF MEDICINE,C ,Atualizado
2251-9149,INTERNATIONAL CARDIOVASCULAR RESEARCH JOURNAL,B5,Atualizado
0268-3768,"INTERNATIONAL JOURNAL, ADVANCED MANUFACTURING TECHNOLOGY",B3,Atualizado
1863-0383,INTERNATIONAL JOURNAL: EMERGING TECHNOLOGIES IN LEARNING,B5,Atualizado
2046-4568,INTERNATIONAL JOURNAL FOR E-LEARNING SECURITY,C ,Atualizado
1742-4712,INTERNATIONAL JOURNAL FOR INFONOMICS (IJI),C ,Atualizado
2040-7939,INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN BIOMEDICAL ENGINEERING (PRINT),B3,Atualizado
0029-5981,INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN ENGINEERING (PRINT),B3,Atualizado
0271-2091,INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN FLUIDS (PRINT),A1,Atualizado
1947-9220,"INTERNATIONAL JOURNAL OF ADAPTIVE, RESILIENT AND AUTONOMIC SYSTEMS",B5,Atualizado
2251-6379,INTERNATIONAL JOURNAL OF ADVANCED COMPUTER SCIENCE,C ,Atualizado
2231-1548,INTERNATIONAL JOURNAL OF ADVANCED INFORMATION TECHNOLOGY,B5,Atualizado
2320-0243,INTERNATIONAL JOURNAL OF ADVANCED REMOTE SENSING AND GIS,C ,Atualizado
2165-4069,INTERNATIONAL JOURNAL OF ADVANCED RESEARCH IN ARTIFICIAL INTELLIGENCE (ONLINE),C ,Atualizado
2277-128X,INTERNATIONAL JOURNAL OF ADVANCED RESEARCH IN COMPUTER SCIENCE AND SOFTWARE ENGINEERING,C ,Atualizado
1729-8806,INTERNATIONAL JOURNAL OF ADVANCED ROBOTIC SYSTEMS (PRINT),B1,Atualizado
2278-7917,INTERNATIONAL JOURNAL OF ADVANCED STUDIES IN COMPUTER SCIENCE AND ENGINEERING,B5,Atualizado
1746-1375,INTERNATIONAL JOURNAL OF AGENT-ORIENTED SOFTWARE ENGINEERING (PRINT),B5,Atualizado
1947-3206,INTERNATIONAL JOURNAL OF AGRICULTURAL AND ENVIRONMENTAL INFORMATION SYSTEMS,B2,Atualizado
1687-5877,INTERNATIONAL JOURNAL OF ANTENNAS AND PROPAGATION (ONLINE),B3,Atualizado
1687-5869,INTERNATIONAL JOURNAL OF ANTENNAS AND PROPAGATION (PRINT),B3,Atualizado
1383-5416,INTERNATIONAL JOURNAL OF APPLIED ELECTROMAGNETICS AND MECHANICS,B3,Atualizado
0888-613X,INTERNATIONAL JOURNAL OF APPROXIMATE REASONING,A1,Atualizado
0974-0635,INTERNATIONAL JOURNAL OF ARTIFICIAL INTELLIGENCE,C ,Atualizado
0976-2191,INTERNATIONAL JOURNAL OF ARTIFICIAL INTELLIGENCE & APPLICATIONS (IJAIA),C ,Atualizado
1560-4292,INTERNATIONAL JOURNAL OF ARTIFICIAL INTELLIGENCE IN EDUCATION (PRINT),B1,Atualizado
1473-5504,INTERNATIONAL JOURNAL OF ASTROBIOLOGY (PRINT),B4,Atualizado
0218-1274,INTERNATIONAL JOURNAL OF BIFURCATION AND CHAOS IN APPLIED SCIENCES AND ENGINEERING,B3,Atualizado
1744-5493,INTERNATIONAL JOURNAL OF BIOINFORMATICS RESEARCH AND APPLICATIONS (ONLINE),B1,Atualizado
1744-5485,INTERNATIONAL JOURNAL OF BIOINFORMATICS RESEARCH AND APPLICATIONS (PRINT),B1,Atualizado
1758-0374,INTERNATIONAL JOURNAL OF BIO-INSPIRED COMPUTATION (ONLINE),B1,Atualizado
1687-4196,INTERNATIONAL JOURNAL OF BIOMEDICAL IMAGING,B5,Atualizado
0020-7128,INTERNATIONAL JOURNAL OF BIOMETEOROLOGY (PRINT),B2,Atualizado
1746-0972,INTERNATIONAL JOURNAL OF BUSINESS INFORMATION SYSTEMS (PRINT),B1,Atualizado
1743-8187,INTERNATIONAL JOURNAL OF BUSINESS INTELLIGENCE AND DATA MINING,B1,Atualizado
1741-8763,INTERNATIONAL JOURNAL OF BUSINESS PROCESS INTEGRATION AND MANAGEMENT (PRINT),B1,Atualizado
1097-0088,INTERNATIONAL JOURNAL OF CLIMATOLOGY,B5,Atualizado
2326-7550,INTERNATIONAL JOURNAL OF CLOUD COMPUTING,B5,Atualizado
1740-2085,INTERNATIONAL JOURNAL OF COLLABORATIVE ENTERPRISE,C ,Atualizado
2076-0930,INTERNATIONAL JOURNAL OF COMMUNICATION NETWORKS AND INFORMATION SECURITY (PRINT),B2,Atualizado
1099-1131,INTERNATIONAL JOURNAL OF COMMUNICATION SYSTEMS,B1,Atualizado
1074-5351,INTERNATIONAL JOURNAL OF COMMUNICATION SYSTEMS,B1,Atualizado
1074-5351,INTERNATIONAL JOURNAL OF COMMUNICATION SYSTEMS (PRINT),B1,Atualizado
1756-0764,INTERNATIONAL JOURNAL OF COMPUTATIONAL BIOLOGY AND DRUG DESIGN (ONLINE),B2,Atualizado
0976-0962,INTERNATIONAL JOURNAL OF COMPUTATIONAL LINGUISTICS AND APPLICATIONS,B5,Atualizado
1742-7185,INTERNATIONAL JOURNAL OF COMPUTATIONAL SCIENCE AND ENGINEERING,B1,Atualizado
1793-8163,INTERNATIONAL JOURNAL OF COMPUTER AND ELECTRICAL ENGINEERING,B5,Atualizado
0975-8887,INTERNATIONAL JOURNAL OF COMPUTER APPLICATIONS,C ,Atualizado
0975-8887,INTERNATIONAL JOURNAL OF COMPUTER APPLICATIONS,C ,Atualizado
0952-8091,INTERNATIONAL JOURNAL OF COMPUTER APPLICATIONS IN TECHNOLOGY,B1,Atualizado
1741-5047,INTERNATIONAL JOURNAL OF COMPUTER APPLICATIONS IN TECHNOLOGY,B1,Atualizado
2316-9915,INTERNATIONAL JOURNAL OF COMPUTER ARCHITECTURE EDUCATION,B5,Atualizado
1861-6410,INTERNATIONAL JOURNAL OF COMPUTER ASSISTED RADIOLOGY AND SURGERY (PRINT),B4,Atualizado
1687-7047,INTERNATIONAL JOURNAL OF COMPUTER GAMES TECHNOLOGY,B1,Atualizado
2150-7988,INTERNATIONAL JOURNAL OF COMPUTER INFORMATION SYSTEMS AND INDUSTRIAL MANAGEMENT APPLICATIONS,B5,Atualizado
0951-192X,INTERNATIONAL JOURNAL OF COMPUTER INTEGRATED MANUFACTURING (PRINT),B1,Atualizado
0975-2293,INTERNATIONAL JOURNAL OF COMPUTER NETWORKS AND COMMUNICATIONS,C ,Atualizado
0974-9322,INTERNATIONAL JOURNAL OF COMPUTER NETWORKS AND COMMUNICATIONS,C ,Atualizado
2324-7134,INTERNATIONAL JOURNAL OF COMPUTER SCIENCE AND APPLICATION,C ,Atualizado
0972-9038,INTERNATIONAL JOURNAL OF COMPUTER SCIENCE AND APPLICATIONS (ONLINE),B2,Atualizado
0976-2760,INTERNATIONAL JOURNAL OF COMPUTER SCIENCE AND ENGINEERING SURVEY,C ,Atualizado
1947-5500,INTERNATIONAL JOURNAL OF COMPUTER SCIENCE AND INFORMATION SECURITY,C ,Atualizado
0975-4660,INTERNATIONAL JOURNAL OF COMPUTER SCIENCE AND INFORMATION TECHNOLOGY,C ,Atualizado
0975-3826,INTERNATIONAL JOURNAL OF COMPUTER SCIENCE AND INFORMATION TECHNOLOGY (ONLINE),C ,Atualizado
1738-7906,INTERNATIONAL JOURNAL OF COMPUTER SCIENCE AND NETWORK SECURITY,C ,Atualizado
2409-4285,INTERNATIONAL JOURNAL OF COMPUTER SCIENCE AND SOFTWARE ENGINEERING,C ,Atualizado
2394-1065,INTERNATIONAL JOURNAL OF COMPUTER SYSTEMS,C ,Atualizado
1793-8201,INTERNATIONAL JOURNAL OF COMPUTER THEORY AND ENGINEERING,C ,Atualizado
1206-212X,INTERNATIONAL JOURNAL OF COMPUTERS & APPLICATIONS,B2,Atualizado
1841-9836,"INTERNATIONAL JOURNAL OF COMPUTERS, COMMUNICATIONS & CONTROL (PRINT)",B1,Atualizado
1755-8050,INTERNATIONAL JOURNAL OF DATA ANALYSIS TECHNIQUES AND STRATEGIES,B2,Atualizado
1759-1163,"INTERNATIONAL JOURNAL OF DATA MINING, MODELLING AND MANAGEMENT",B2,Atualizado
1548-3924,INTERNATIONAL JOURNAL OF DATA WAREHOUSING AND MINING,B1,Atualizado
0975-5985,INTERNATIONAL JOURNAL OF DATABASE MANAGEMENT SYSTEMS,C ,Atualizado
1539-3100,INTERNATIONAL JOURNAL OF DISTANCE EDUCATION TECHNOLOGIES,B1,Atualizado
1550-1329,INTERNATIONAL JOURNAL OF DISTRIBUTED SENSOR NETWORKS,B1,Atualizado
1550-1477,INTERNATIONAL JOURNAL OF DISTRIBUTED SENSOR NETWORKS (ONLINE),B1,Atualizado
1947-3532,INTERNATIONAL JOURNAL OF DISTRIBUTED SYSTEMS AND TECHNOLOGIES,B2,Atualizado
0951-354X,INTERNATIONAL JOURNAL OF EDUCATIONAL MANAGEMENT,B5,Atualizado
1947-315X,INTERNATIONAL JOURNAL OF E-HEALTH AND MEDICAL COMMUNICATIONS,B2,Atualizado
0142-0615,INTERNATIONAL JOURNAL OF ELECTRICAL POWER & ENERGY SYSTEMS,B2,Atualizado
1548-3886,INTERNATIONAL JOURNAL OF ELECTRONIC GOVERNMENT RESEARCH,B1,Atualizado
1362-3060,INTERNATIONAL JOURNAL OF ELECTRONICS (ONLINE),B1,Atualizado
1741-1068,INTERNATIONAL JOURNAL OF EMBEDDED SYSTEMS,B2,Atualizado
2076-2895,INTERNATIONAL JOURNAL OF ENERGY AND ENVIRONMENT (PRINT),B5,Atualizado
2351-8707,INTERNATIONAL JOURNAL OF ENGINEERING AND MATHEMATICAL MODELLING,C ,Atualizado
0949-149X,INTERNATIONAL JOURNAL OF ENGINEERING EDUCATION,B3,Atualizado
2395-6992,INTERNATIONAL JOURNAL OF ENGINEERING RESEARCH & SCIENCE,C ,Atualizado
2278-0181,INTERNATIONAL JOURNAL OF ENGINEERING RESEARCH & TECHNOLOGY,C ,Atualizado
2278-067X,INTERNATIONAL JOURNAL OF ENGINEERING RESEARCH AND DEVELOPMENT,C ,Atualizado
0020-7225,INTERNATIONAL JOURNAL OF ENGINEERING SCIENCE,B2,Atualizado
1660-4601,INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH,B4,Atualizado
0300-5771,INTERNATIONAL JOURNAL OF EPIDEMIOLOGY,B2,Atualizado
2160-9918,INTERNATIONAL JOURNAL OF E-PLANNING RESEARCH,B5,Atualizado
1756-2104,INTERNATIONAL JOURNAL OF FUNCTIONAL INFORMATICS AND PERSONALISED MEDICINE (PRINT),B5,Atualizado
2010-3751,INTERNATIONAL JOURNAL OF FUTURE COMPUTER AND COMMUNICATION,C ,Atualizado
1562-2479,INTERNATIONAL JOURNAL OF FUZZY SYSTEMS,B1,Atualizado
2314-4378,INTERNATIONAL JOURNAL OF GENOMICS (ONLINE),B5,Atualizado
2233-8985,INTERNATIONAL JOURNAL OF GENUINETRADITIONAL MEDICINE,C ,Atualizado
1365-8816,INTERNATIONAL JOURNAL OF GEOGRAPHICAL INFORMATION SCIENCE (PRINT),A1,Atualizado
2156-8359,INTERNATIONAL JOURNAL OF GEOSCIENCES,C ,Atualizado
1741-8488,INTERNATIONAL JOURNAL OF GRID AND UTILITY COMPUTING (ONLINE),B2,Atualizado
1751-6536,INTERNATIONAL JOURNAL OF HIGH PERFORMANCE SYSTEMS ARCHITECTURE,B2,Atualizado
2180-1347,INTERNATIONAL JOURNAL OF HUMAN COMPUTER INTERACTION,C ,Atualizado
1071-5819,INTERNATIONAL JOURNAL OF HUMAN-COMPUTER STUDIES (PRINT),A1,Atualizado
1448-5869,INTERNATIONAL JOURNAL OF HYBRID INTELLIGENT SYSTEMS,B5,Atualizado
0219-4678,INTERNATIONAL JOURNAL OF IMAGE AND GRAPHICS,B5,Atualizado
2231-525X,INTERNATIONAL JOURNAL OF IMAGING AND ROBOTICS,C ,Atualizado
1550-1876,INTERNATIONAL JOURNAL OF INFORMATION AND COMMUNICATION TECHNOLOGY EDUCATION,B2,Atualizado
1756-7025,INTERNATIONAL JOURNAL OF INFORMATION AND DECISION SCIENCES,B2,Atualizado
2010-3689,INTERNATIONAL JOURNAL OF INFORMATION AND EDUCATION TECHNOLOGY,C ,Atualizado
0973-8215,INTERNATIONAL JOURNAL OF INFORMATION PROCESSING,B5,Atualizado
1615-5262,INTERNATIONAL JOURNAL OF INFORMATION SECURITY (PRINT),B1,Atualizado
2147-0030,INTERNATIONAL JOURNAL OF INFORMATION SECURITY SCIENCE,B5,Atualizado
1935-5688,INTERNATIONAL JOURNAL OF INFORMATION SYSTEMS IN THE SERVICE SECTOR,B2,Atualizado
2074-9007,INTERNATIONAL JOURNAL OF INFORMATION TECHNOLOGY AND COMPUTER SCIENCE,B5,Atualizado
2042-3217,"INTERNATIONAL JOURNAL OF INFORMATION TECHNOLOGY, COMMUNICATIONS AND CONVERGENCE",B5,Atualizado
1938-0232,INTERNATIONAL JOURNAL OF INFORMATION TECHNOLOGY PROJECT MANAGEMENT,B5,Atualizado
1947-8305,INTERNATIONAL JOURNAL OF INNOVATION IN DIGITAL ECONOMY,B5,Atualizado
1751-6498,INTERNATIONAL JOURNAL OF INNOVATIVE COMPUTING AND APPLICATIONS (ONLINE),B2,Atualizado
1751-648X,INTERNATIONAL JOURNAL OF INNOVATIVE COMPUTING AND APPLICATIONS (PRINT),B2,Atualizado
1349-4198,"INTERNATIONAL JOURNAL OF INNOVATIVE COMPUTING, INFORMATION & CONTROL",C ,Atualizado
2395-2946,INTERNATIONAL JOURNAL OF INNOVATIVE TRENDS IN ENGINEERING,C ,Atualizado
0884-8173,INTERNATIONAL JOURNAL OF INTELLIGENT SYSTEMS,A2,Atualizado
0884-8173,INTERNATIONAL JOURNAL OF INTELLIGENT SYSTEMS (PRINT),A2,Atualizado
1348-8503,INTERNATIONAL JOURNAL OF INTELLIGENT TRANSPORTATION SYSTEMS RESEARCH,B5,Atualizado
1741-1009,INTERNATIONAL JOURNAL OF KNOWLEDGE AND LEARNING (PRINT),B5,Atualizado
1755-8255,INTERNATIONAL JOURNAL OF KNOWLEDGE AND WEB INTELLIGENCE,B5,Atualizado
2316-6517,INTERNATIONAL JOURNAL OF KNOWLEDGE ENGINEERING AND MANAGEMENT,C ,Atualizado
2316-6517,INTERNATIONAL JOURNAL OF KNOWLEDGE ENGINEERING AND MANAGEMENT - IJKEM,C ,Atualizado
1947-8429,INTERNATIONAL JOURNAL OF KNOWLEDGE SOCIETY RESEARCH,C ,Atualizado
0967-0769,INTERNATIONAL JOURNAL OF LAW AND INFORMATION TECHNOLOGY,B5,Atualizado
1477-8386,INTERNATIONAL JOURNAL OF LEARNING TECHNOLOGY (PRINT),B2,Atualizado
1742-7967,INTERNATIONAL JOURNAL OF LOGISTICS SYSTEMS AND MANAGEMENT (PRINT),B5,Atualizado
1468-4330,INTERNATIONAL JOURNAL OF MANAGEMENT AND ENTERPRISE DEVELOPMENT (PRINT),B5,Atualizado
0268-1900,INTERNATIONAL JOURNAL OF MATERIALS & PRODUCT TECHNOLOGY,B5,Atualizado
1312-8876,INTERNATIONAL JOURNAL OF MATHEMATICAL ANALYSIS,C ,Atualizado
1755-0653,INTERNATIONAL JOURNAL OF MEDICAL ENGINEERING AND INFORMATICS,B5,Atualizado
1386-5056,INTERNATIONAL JOURNAL OF MEDICAL INFORMATICS,A1,Atualizado
1744-263X,"INTERNATIONAL JOURNAL OF METADATA, SEMANTICS AND ONTOLOGIES",B1,Atualizado
1744-2621,"INTERNATIONAL JOURNAL OF METADATA, SEMANTICS AND ONTOLOGIES (PRINT)",B1,Atualizado
2107-6839,INTERNATIONAL JOURNAL OF METROLOGY AND QUALITY ENGINEERING,B5,Atualizado
1741-8410,INTERNATIONAL JOURNAL OF MICROSTRUCTURE AND MATERIALS PROPERTIES (PRINT),B5,Atualizado
1942-390X,INTERNATIONAL JOURNAL OF MOBILE HUMAN COMPUTER INTERACTION,B2,Atualizado
2010-3697,INTERNATIONAL JOURNAL OF MODELING AND OPTIMIZATION,C ,Atualizado
2249-6645,INTERNATIONAL JOURNAL OF MODERN ENGINEERING RESEARCH,C ,Atualizado
0129-1831,INTERNATIONAL JOURNAL OF MODERN PHYSICS C,B3,Atualizado
1422-0067,INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES (ONLINE),B2,Atualizado
1975-0080,INTERNATIONAL JOURNAL OF MULTIMEDIA AND UBIQUITOUS ENGINEERING,C ,Atualizado
2225-1456,INTERNATIONAL JOURNAL OF MULTIMEDIA TECHNOLOGY,C ,Atualizado
0301-9322,INTERNATIONAL JOURNAL OF MULTIPHASE FLOW,B3,Atualizado
1947-928X,INTERNATIONAL JOURNAL OF NATURAL COMPUTING RESEARCH,B5,Atualizado
1055-7148,INTERNATIONAL JOURNAL OF NETWORK MANAGEMENT,B1,Atualizado
1055-7148,INTERNATIONAL JOURNAL OF NETWORK MANAGEMENT,B1,Atualizado
1099-1190,INTERNATIONAL JOURNAL OF NETWORK MANAGEMENT (ONLINE),B1,Atualizado
2185-2839,INTERNATIONAL JOURNAL OF NETWORKING AND COMPUTING,B5,Atualizado
1470-9503,INTERNATIONAL JOURNAL OF NETWORKING AND VIRTUAL ORGANISATIONS,B1,Atualizado
2168-4944,INTERNATIONAL JOURNAL OF NETWORKS AND COMMUNICATIONS,C ,Atualizado
0129-0657,INTERNATIONAL JOURNAL OF NEURAL SYSTEMS,A1,Atualizado
0975-7252,INTERNATIONAL JOURNAL OF NEXT-GENERATION NETWORKS,C ,Atualizado
0894-3370,INTERNATIONAL JOURNAL OF NUMERICAL MODELLING (PRINT),B1,Atualizado
1861-2121,INTERNATIONAL JOURNAL OF ONLINE ENGINEERING,B5,Atualizado
1813-713X,INTERNATIONAL JOURNAL OF OPERATIONS RESEARCH (PRINT),B5,Atualizado
1744-5760,"INTERNATIONAL JOURNAL OF PARALLEL, EMERGENT AND DISTRIBUTED SYSTEMS (PRINT)",B1,Atualizado
0885-7458,INTERNATIONAL JOURNAL OF PARALLEL PROGRAMMING,B1,Atualizado
0218-0014,INTERNATIONAL JOURNAL OF PATTERN RECOGNITION AND ARTIFICIAL INTELLIGENCE,B1,Atualizado
1474-8185,INTERNATIONAL JOURNAL OF PERFORMANCE ANALYSIS IN SPORT,B4,Atualizado
1742-7371,INTERNATIONAL JOURNAL OF PERVASIVE COMPUTING AND COMMUNICATIONS (PRINT),B2,Atualizado
1110-662X,INTERNATIONAL JOURNAL OF PHOTOENERGY (PRINT),B3,Atualizado
0341-8685,INTERNATIONAL JOURNAL OF PHYSICAL EDUCATION,C ,Atualizado
0925-5273,INTERNATIONAL JOURNAL OF PRODUCTION ECONOMICS,B3,Atualizado
1366-588X,INTERNATIONAL JOURNAL OF PRODUCTION RESEARCH,A1,Atualizado
0020-7543,INTERNATIONAL JOURNAL OF PRODUCTION RESEARCH (PRINT),A1,Atualizado
1311-8080,INTERNATIONAL JOURNAL OF PURE AND APPLIED MATHEMATICS,B5,Atualizado
0219-7499,INTERNATIONAL JOURNAL OF QUANTUM INFORMATION,B1,Atualizado
2197-8581,"INTERNATIONAL JOURNAL OF RECENT CONTRIBUTIONS FROM ENGINEERING, SCIENCE & IT",C ,Atualizado
1687-7195,INTERNATIONAL JOURNAL OF RECONFIGURABLE COMPUTING (PRINT),B2,Atualizado
0143-1161,INTERNATIONAL JOURNAL OF REMOTE SENSING (PRINT),B3,Atualizado
1049-8923,INTERNATIONAL JOURNAL OF ROBUST AND NONLINEAR CONTROL (PRINT),B2,Atualizado
2229-5518,INTERNATIONAL JOURNAL OF SCIENTIFIC AND ENGINEERING RESEARCH,C ,Atualizado
2279-0543,INTERNATIONAL JOURNAL OF SCIENTIFIC RESEARCH AND REVIEWS,C ,Atualizado
1738-9976,INTERNATIONAL JOURNAL OF SECURITY AND ITS APPLICATIONS,C ,Atualizado
1747-8405,INTERNATIONAL JOURNAL OF SECURITY AND NETWORKS (PRINT),B1,Atualizado
1793-351X,INTERNATIONAL JOURNAL OF SEMANTIC COMPUTING,B5,Atualizado
2330-4472,INTERNATIONAL JOURNAL OF SERVICES COMPUTING,B5,Atualizado
1473-8031,"INTERNATIONAL JOURNAL OF SIMULATION: SYSTEMS, SCIENCE & TECHNOLOGY (PRINT)",B1,Atualizado
0975-9018,INTERNATIONAL JOURNAL OF SOFTWARE ENGINEERING & APPLICATIONS (IJSEA),C ,Atualizado
0218-1940,INTERNATIONAL JOURNAL OF SOFTWARE ENGINEERING AND KNOWLEDGE ENGINEERING,B1,Atualizado
2090-3340,INTERNATIONAL JOURNAL OF STOCHASTIC ANALYSIS,B5,Atualizado
1947-9263,INTERNATIONAL JOURNAL OF SWARM INTELLIGENCE RESEARCH (PRINT),B5,Atualizado
1464-5319,INTERNATIONAL JOURNAL OF SYSTEMS SCIENCE (ONLINE),A2,Atualizado
1749-9151,INTERNATIONAL JOURNAL OF TEACHING AND CASE STUDIES,B5,Atualizado
0020-7748,INTERNATIONAL JOURNAL OF THEORETICAL PHYSICS,B3,Atualizado
2056-5607,INTERNATIONAL JOURNAL OF TOURISM CITIES,B5,Atualizado
1745-008X,INTERNATIONAL JOURNAL OF TRANSITIONS AND INNOVATION SYSTEMS (IJTIS),B5,Atualizado
2005-4246,"INTERNATIONAL JOURNAL OF U- AND E-SERVICE, SCIENCE AND TECHNOLOGY",C ,Atualizado
0975-8992,INTERNATIONAL JOURNAL OF UBICOMP,C ,Atualizado
0218-4885,"INTERNATIONAL JOURNAL OF UNCERTAINTY, FUZZINESS AND KNOWLEDGE-BASED SYSTEMS",A2,Atualizado
2168-0620,INTERNATIONAL JOURNAL OF UNDERGRADUATE RESEARCH AND CREATIVE ACTIVITIES,C ,Atualizado
1081-1451,INTERNATIONAL JOURNAL OF VIRTUAL REALITY,B5,Atualizado
0219-6913,"INTERNATIONAL JOURNAL OF WAVELETS, MULTIRESOLUTION AND INFORMATION PROCESSING",B1,Atualizado
1741-1114,INTERNATIONAL JOURNAL OF WEB AND GRID SERVICES (ONLINE),B1,Atualizado
1741-1106,INTERNATIONAL JOURNAL OF WEB AND GRID SERVICES (PRINT),B1,Atualizado
1477-8394,INTERNATIONAL JOURNAL OF WEB BASED COMMUNITIES (PRINT),B1,Atualizado
1476-1289,INTERNATIONAL JOURNAL OF WEB ENGINEERING AND TECHNOLOGY,B1,Atualizado
1744-0084,INTERNATIONAL JOURNAL OF WEB INFORMATION SYSTEMS (PRINT),B1,Atualizado
1938-0194,INTERNATIONAL JOURNAL OF WEB PORTALS,B2,Atualizado
1545-7362,INTERNATIONAL JOURNAL OF WEB SERVICES RESEARCH,B1,Atualizado
2330-1007,INTERNATIONAL JOURNAL OF WIRELESS COMMUNICATIONS AND MOBILE COMPUTING,C ,Atualizado
1068-9605,INTERNATIONAL JOURNAL OF WIRELESS INFORMATION NETWORKS,B1,Atualizado
1942-2679,INTERNATIONAL JOURNAL ON ADVANCES IN INTELLIGENT SYSTEMS.,C ,Atualizado
2320-1827,INTERNATIONAL JOURNAL ON ADVANCES IN LIFE SCIENCES,B5,Atualizado
1942-2628,INTERNATIONAL JOURNAL ON ADVANCES IN SOFTW,C ,Atualizado
1942-261X,INTERNATIONAL JOURNAL ON ADVANCES IN SYSTEMS AND MEASUREMENTS,C ,Atualizado
0218-2130,INTERNATIONAL JOURNAL ON ARTIFICIAL INTELLIGENCE TOOLS,B1,Atualizado
1432-5012,INTERNATIONAL JOURNAL ON DIGITAL LIBRARIES (PRINT),B1,Atualizado
1433-2833,INTERNATIONAL JOURNAL ON DOCUMENT ANALYSIS AND RECOGNITION (PRINT),B1,Atualizado
1537-2456,INTERNATIONAL JOURNAL ON E-LEARNING,B5,Atualizado
1869-1994,INTERNATIONAL JOURNAL ON TRANSACTIONS ON LARGE-SCALE DATA- AND KNOWLEDGE-CENTERED SYSTEMS (TLDKS),B5,Atualizado
0160-0176,INTERNATIONAL REGIONAL SCIENCE REVIEW,B3,Atualizado
0969-6016,INTERNATIONAL TRANSACTIONS IN OPERATIONAL RESEARCH,A2,Atualizado
2324-8858,INTERPRETATION,B5,Atualizado
1809-7286,INTERSABERES (FACINTER),C ,Atualizado
1679-9844,INTERSCIENCE PLACE,C ,Atualizado
0266-5611,INVERSE PROBLEMS (PRINT),B3,Atualizado
2278-0661,IOSR JOURNAL OF COMPUTER ENGINEERING,C ,Atualizado
2321-5933,IOSR JOURNAL OF ECONOMICS AND FINANCE,C ,Atualizado
1413-7895,IRRIGA (UNESP BOTUCATU),B5,Atualizado
2220-9964,ISPRS INTERNATIONAL JOURNAL OF GEO-INFORMATION,B3,Atualizado
2090-4355,ISRN COMMUNICATIONS AND NETWORKING,B3,Atualizado
1547-5867,ISSUES IN INFORMING SCIENCE & INFORMATION TECHNOLOGY EDUCATION (ONLINE),C ,Atualizado
1984-2902,ISYS: REVISTA BRASILEIRA DE SISTEMAS DE INFORMAÇÃO,B3,Atualizado
