trabalhoCompletoEmCongresso	Raquel Aparecida de Freitas Mini	2010		Comunicação de Dados Baseada no Receptor para Redes de Sensores Sem Fio	Simpósio Brasileiro de Redes de Computadores e Sistemas Distribuídos	MACHADO, Max Do Val ; Mini, Raquel A.F. ; LOUREIRO, Antonio Alfredo Ferreira	B2	
trabalhoCompletoEmCongresso	Raquel Aparecida de Freitas Mini	2010		Um Algoritmo de Amostragem Multivariada Para Redes de Sensores Sem Fio	Simpósio Brasileiro de Redes de Computadores e Sistemas Distribuidos	JUNIOR, Orlando Silva ; AQUINO, Andre Luiz Lins de ; Mini, Raquel A.F.	B2	Simpósio Brasileiro de Redes de Computadores e Sistemas Distribuídos
trabalhoCompletoEmCongresso	Raquel Aparecida de Freitas Mini	2010		Roteamento Oportunístico em Redes de Sensores Tolerantes a Atrasos e Desconexões	Simpósio Brasileiro de Redes de Computadores e Sistemas Distribuídos	CUNHA, Felipe Domingos da ; RAMOS, Heitor ; MINI, Raquel Aparecida de Freitas ; LOUREIRO, Antonio Alfredo Ferreira	B2	
trabalhoCompletoEmCongresso	Raquel Aparecida de Freitas Mini	2010		A Small World Model based on Multi-interface and Multi-channel to Design Heterogeneous Wireless Sensor Networks	IEEE Globecom	GUIDONI, Daniel Ludovico ; SOUZA, Fernanda S. H. ; MINI, Raquel Aparecida de Freitas ; LOUREIRO, Antonio Alfredo Ferreira	Qualis nao identificado	IEEE Globecom
trabalhoCompletoEmCongresso	Raquel Aparecida de Freitas Mini	2009		A Combined Approach for Receiver-based MAC and Network Layers in Wireless Sensor Networks	The 44th IEEE International Conference on Communications (ICC)	MACHADO, Max Do Val ; MINI, Raquel Aparecida de Freitas ; LOUREIRO, Antonio Alfredo Ferreira	A2	IEEE International Conference on Communications
trabalhoCompletoEmCongresso	Raquel Aparecida de Freitas Mini	2009		Multivariate Reduction in Wireless Sensors Networks	XIV IEEE Symposium On Computers and Communications (ISCC)	JUNIOR, Orlando Silva ; AQUINO, Andre Luiz Lins de ; MINI, Raquel Aparecida de Freitas ; FIGUEIREDO, Carlos Maurício Seródio	A2	IEEE Symposium on Computers and Communications
trabalhoCompletoEmCongresso	Raquel Aparecida de Freitas Mini	2009		Um Protocolo Baseado em Teoria dos Jogos para a Cooperação entre Diferentes Redes de Sensores Sem Fio	XXVII Simpósio Brasileiro de Redes Computadores (SBRC)	MELO, Pedro Olmo Stancioli Vaz de ; LOUREIRO, Antonio Alfredo Ferreira ; MACHADO, Max Do Val ; MINI, Raquel Aparecida de Freitas	B2	SBRC
trabalhoCompletoEmCongresso	Raquel Aparecida de Freitas Mini	2009		An On-line Model to Design Heterogeneous Wireless Sensor Networks Based on Small World Concepts	XV IEEE Symposium On Computers and Communications (ISCC)	GUIDONI, Daniel Ludovico ; MINI, Raquel Aparecida de Freitas ; LOUREIRO, Antonio Alfredo Ferreira ; BOUKERCHE, Azzedine	A2	IEEE Symposium on Computers and Communications
trabalhoCompletoEmCongresso	Raquel Aparecida de Freitas Mini	2008		O Problema da Cooperação entre Redes de Sensores Sem Fio	Simpósio Brasileiro de Redes de Computadores (SBRC)	MELO, Pedro Olmo Stancioli Vaz de ; CUNHA, Felipe Domingos da ; ALMEIDA, Jussara M. ; MINI, Raquel Aparecida de Freitas ; LOUREIRO, Antonio Alfredo Ferreira	B2	SBRC
trabalhoCompletoEmCongresso	Raquel Aparecida de Freitas Mini	2008		Creating Small-World Models in Wireless Sensor Networks	IEEE International Symposium on Personal	GUIDONI, Daniel Ludovico ; MINI, Raquel Aparecida de Freitas ; LOUREIRO, Antonio Alfredo Ferreira	A1	IEEE International Symposium on Personal and Indoor Mobile Radio Conference
trabalhoCompletoEmCongresso	Raquel Aparecida de Freitas Mini	2008		On the Design of Heterogeneous Sensor Networks Based on Small World Concepts	11th ACM International Conference on Modeling	GUIDONI, Daniel Ludovico ; MINI, Raquel Aparecida de Freitas ; LOUREIRO, Antonio Alfredo Ferreira	Qualis nao identificado	11th ACM International Conference on Modeling
trabalhoCompletoEmCongresso	Raquel Aparecida de Freitas Mini	2008		The Problem of Cooperation Among Different Wireless Sensor Networks	11th ACM-IEEE International Symposium on Modeling	MELO, Pedro Olmo Stancioli Vaz de ; CUNHA, Felipe Domingos da ; ALMEIDA, Jussara M. ; MINI, Raquel Aparecida de Freitas ; LOUREIRO, Antonio Alfredo Ferreira	Qualis nao identificado	11th ACM-IEEE International Symposium on Modeling
trabalhoCompletoEmCongresso	Raquel Aparecida de Freitas Mini	2008		An In-Network Reduction Algorithm for Real-Time Wireless Sensor Networks Applications	Fourth ACM International Workshop on Wireless Multimedia Networking and Performance Modeling (WMuNeP'08)	AQUINO, Andre Luiz Lins de ; LOUREIRO, Antonio Alfredo Ferreira ; OTAVIO, Antonio ; MINI, Raquel Aparecida de Freitas	Qualis nao identificado	Fourth ACM International Workshop on Wireless Multimedia Networking and Performance Modeling (WMuNeP'08)
trabalhoCompletoEmCongresso	Raquel Aparecida de Freitas Mini	2008		Redes de Sensores sem Fio para Monitoramento de Anfíbios	Grand Challenges in Computer Science Research in Latin America Workshop (CharLa'08)	AQUINO, Andre Luiz Lins de ; FIGUEIREDO, Carlos Maurício Seródio ; LOUREIRO, Antonio Alfredo Ferreira ; MINI, Raquel Aparecida de Freitas ; NAKAMURA, E. F. ; OLIVEIRA, Horacio Antonio Braga Fernandes de ; RUIZ, Linnyer Beatryz	Qualis nao identificado	Grand Challenges in Computer Science Research in Latin America Workshop (CharLa'08)
trabalhoCompletoEmCongresso	Raquel Aparecida de Freitas Mini	2007		Teoria dos Jogos na Comunicação de Dados em Redes de Sensores Sem Fio	Simpósio Brasileiro de Redes de Computadores (SBRC)	MELO, Pedro Olmo Stancioli Vaz de ; MINI, Raquel Aparecida de Freitas ; MACHADO, Max Do Val ; LOUREIRO, Antonio Alfredo Ferreira	B2	SBRC
trabalhoCompletoEmCongresso	Raquel Aparecida de Freitas Mini	2007		Gossiping using the Energy Map in Wireless Sensor Networks	10th ACM/IEEE International Symposium on Modeling	MACHADO, Max Do Val ; MINI, Raquel Aparecida de Freitas ; LOUREIRO, Antonio Alfredo Ferreira ; GUIDONI, Daniel Ludovico ; MELO, Pedro Olmo Stancioli Vaz de	Qualis nao identificado	10th ACM/IEEE International Symposium on Modeling
trabalhoCompletoEmCongresso	Raquel Aparecida de Freitas Mini	2007		Comunicação, Codificação e Fusão de Dados para uma Aplicação de Detecção de Incêndios utilizando Redes de Sensores sem Fio	1º Workshop on Pervasive and Ubiquitous Computing (WPUC)	OLIVEIRA, Eduardo Mucelli Rezende ; MELO, Pedro Olmo Stancioli Vaz de ; MINI, Raquel Aparecida de Freitas	Qualis nao identificado	1º Workshop on Pervasive and Ubiquitous Computing (WPUC)
trabalhoCompletoEmCongresso	Raquel Aparecida de Freitas Mini	2006		Difusão de Dados Baseada em Atraso e Energia para Redes de Sensores Sem Fio	24º Simpósio Brasileiro de Redes de Computadores (SBRC)	GUIDONI, Daniel Ludovico ; MACHADO, Max Do Val ; MINI, Raquel Aparecida de Freitas ; LOUREIRO, Antonio Alfredo Ferreira	B2	SBRC
trabalhoCompletoEmCongresso	Raquel Aparecida de Freitas Mini	2006		System-level Dynamic Power Management Techniques for Communication Intensive Devices	14th IFIP International Conference on Very Large Scale Integration (VLSI)	PASSOS, Rodrigo ; NACIF, José Augusto ; MINI, Raquel Aparecida de Freitas ; LOUREIRO, Antonio Alfredo Ferreira ; OTAVIO, Antonio ; COELHO, Claudionor	B3	IFIP International Conference on Very Large Scale Integration
trabalhoCompletoEmCongresso	Raquel Aparecida de Freitas Mini	2005		Data Dissemination Using the Energy Map	The Second Annual Conference on Wireless On demand Network Systems and Services (WONS)	MACHADO, Max Do Val ; GOUSSEVSKAIA, Olga ; MINI, Raquel Aparecida de Freitas ; LOUREIRO, Antonio Alfredo Ferreira ; MATEUS, Geraldo Robson ; NOGUEIRA, José Marcos Silva	B4	WONS
trabalhoCompletoEmCongresso	Raquel Aparecida de Freitas Mini	2005		Dynamic Power Management in Wireless Sensor Networks: An Application-driven Approach	The Second Annual Conference on Wireless On demand Network Systems and Services (WONS)	PASSOS, Rodrigo ; COELHO, Claudionor ; LOUREIRO, Antonio Alfredo Ferreira ; MINI, Raquel Aparecida de Freitas	B4	WONS
trabalhoCompletoEmCongresso	Raquel Aparecida de Freitas Mini	2005		Avoiding Low-Energy Areas in Wireless Sensor Network Data Dissemination	23º Simpósio Brasileiro de Redes de Computadores (SBRC)	GOUSSEVSKAIA, Olga ; MACHADO, Max Do Val ; MINI, Raquel Aparecida de Freitas ; LOUREIRO, Antonio Alfredo Ferreira ; MATEUS, Geraldo Robson ; NOGUEIRA, José Marcos Silva	B2	SBRC
trabalhoCompletoEmCongresso	Raquel Aparecida de Freitas Mini	2005		Energy-efficient Application-aware Communication for Wireless Sensor Networks	10th IFIP International Conference on Personal Wireless Communications (PWC)	PASSOS, Rodrigo ; COELHO, Claudionor ; LOUREIRO, Antonio Alfredo Ferreira ; MINI, Raquel Aparecida de Freitas	B1	IFIP International Conference on Personal Wireless Communications
trabalhoCompletoEmCongresso	Raquel Aparecida de Freitas Mini	2005		A State-based Energy Dissipation Model for Wireless Sensor Nodes	10th IEEE International Conference on Emerging Technologies and Factory Automation (ETFA)	MINI, Raquel Aparecida de Freitas; LOUREIRO, Antonio Alfredo Ferreira ; NATH, Badri	B1	IEEE International Conference on Emerging Technologies and Factory Automation
